cluster,keywords
0,"unit, crac, fan, blower, maintenance, zoom, install, fail, false, fine"
1,"second, monitor, time, detect, mouse, lag, connect, flicker, high, generator"
2,"power, draw, rack, server, zoom, error, fail, false, fan, fine"
3,"cold, aisle, temperature, disconnect, cable, power, rack, zoom, hour, high"
4,"need, install, zone, email, outlook, admin, zoom, rule, search, airflow"
5,"state, door, cabinet, pdu, panel, sensor, zoom, high, generator, firmware"
6,"work, team, fine, apps, mobile, desktop, company, vpn, access, loud"
7,"update, policy, boot, laptop, screen, fail, event, false, fan, fine"
8,"firmware, fail, switch, boot, update, rack, server, zoom, hour, event"
9,"calendar, outlook, fail, zoom, false, fan, fine, firmware, flicker, generator"
10,"window, screen, apps, zoom, restart, minute, update, maintenance, high, error"
