ticket_id,department,description
1,IT,"VPN disconnects randomly during video calls. It started after the last system update."
2,IT,"My laptop battery dies within 30 minutes even after a full charge."
3,IT,"Outlook keeps freezing when I try to search for emails."
4,IT,"Wi-Fi drops every time I join a Teams meeting."
5,IT,"Laptop won’t connect to the company network. Tried restarting and updating drivers."
6,IT,"Teams notifications don’t show up on my desktop until hours later."
7,IT,"Unable to install Zoom due to admin restrictions."
8,IT,"My external keyboard stopped working after plugging into the docking station."
9,IT,"Outlook calendar events are missing after syncing with mobile."
10,IT,"System is extremely slow after the last antivirus update."
11,IT,"Requesting admin access to install project-specific tools."
12,IT,"The mouse pointer lags significantly when connected to a second monitor."
13,IT,"Can’t access the employee portal after the recent password reset."
14,IT,"Outlook search bar doesn't return results from the last 2 weeks."
15,IT,"Bluetooth audio devices disconnect whenever I open Teams."
16,IT,"Monitor flickers when switching between HDMI and DisplayPort."
17,IT,"Software update failed and now the laptop boots to a recovery screen."
18,IT,"VPN drops every hour on the dot. Possible DHCP lease issue?"
19,IT,"Need assistance setting up my dual-monitor workspace."
20,IT,"Microsoft Word keeps crashing when I try to open older documents."
21,IT,"Screen resolution resets after connecting to the projector in Room B."
22,IT,"The system fan runs loud even when the laptop is idle."
23,IT,"Outlook flags safe emails as junk. I need rules reviewed."
24,IT,"My webcam won’t work in Teams, but works fine in other apps."
25,IT,"Frequent blue screens since last Windows update. Happens during Zoom."
26,IT,"Password reset doesn’t sync across systems. AD mismatch?"
27,IT,"Printer in room 104 shows 'offline' but it’s physically on."
28,IT,"Can’t access company VPN on mobile but works fine on desktop."
29,IT,"Mouse clicks lag behind movement when screen sharing."
30,IT,"Every restart brings up the 'Preparing Windows' screen for 5+ minutes."
31,IT,"Office tools randomly log me out every few hours. Very disruptive."
32,IT,"Outlook rules were wiped out after sync with phone."
33,IT,"Laptop randomly shuts down when unplugged."
34,IT,"The password manager doesn’t open after login. Possibly blocked?"
35,IT,"The IT support tool doesn't launch from the start menu."
36,IT,"Cannot run Python scripts because execution policy is restricted."
37,IT,"Second monitor not detected until I replug it every time."
38,IT,"Need to install Adobe Acrobat Pro. Install fails silently."
39,IT,"Microsoft Teams call quality is poor on VPN but fine otherwise."
